ID,Name,Concepticon_ID,Concepticon_Gloss
4-mund,Mund,674,MOUTH
7-lippe,Lippe,478,LIP
14-kinn,Kinn,1510,CHIN
19-kopf,Kopf,1256,HEAD
26-arm,Arm,1673,ARM
45-gehirn,Gehirn,1583,BRAIN
54-schlaf,Schlaf,2972,SLEEP (STATE)
55-traum,Traum,2374,DREAM
60-luft,Luft,27,AIR
61-wind,Wind,960,WIND
64-stein,Stein,857,STONE
72-schatten,Schatten,1388,SHADE
115-ast,Ast,1531,BRANCH
132-tier,Tier,619,ANIMAL
164-wurm,Wurm,1219,WORM
172-apfel,Apfel,1320,APPLE
179-grube,Grube,2539,PIT (POTHOLE)
180-falle,Falle,1075,TRAP (PITFALL)
186-gold,Gold,1369,GOLD
190-lehm,Lehm,1399,CLAY
194-frau,Frau,962,WOMAN
195-kind,Kind,1304,CHILD (YOUNG HUMAN)
199-grovater,Großvater,1383,GRANDFATHER
202-vater,Vater,1217,FATHER
203-mutter,Mutter,1216,MOTHER
206-bruder,Bruder,1262,BROTHER
217-lust,Lust,2960,LONGING (WISH)
223-grund,Grund,2968,REASON
232-rede,Rede,1115,SPEECH
240-ton,Ton,2995,TONE (MUSIC)
247-geschenk,Geschenk,2982,GIFT
253-angelegenheit,Angelegenheit,2214,AFFAIR
259-kreis,Kreis,1467,CIRCLE
271-sache,Sache,738,THING
293-gang,Gang,2979,WALK (MANNER)
303-stange,Stange,281,POST
311-tisch,Tisch,1775,TABLE
314-bett,Bett,1663,BED
316-kiste,Kiste,1465,BOX
317-fenster,Fenster,1375,WINDOW
318-tur,Tür,1567,DOOR
324-spaten,Spaten,1176,SPADE
331-haken,Haken,1071,HOOK
333-schloss,Schloss,1596,LOCK
334-bild,Bild,3303,PICTURE (PAINTING)
336-puppe,Puppe,1659,DOLL
348-nahrung,Nahrung,256,FOOD
365-stoff,Stoff,1616,CLOTH
380-ring,Ring,1374,RING
387-decke,Decke,806,BLANKET
416-gott,Gott,3231,DEITY
422-geld,Geld,1559,MONEY
426-ware,Ware,2957,WARE
431-staat,Staat,2955,STATE (POLITICS)
444-schaden,Schaden,2947,DAMAGE (INJURY)
465-april,April,2847,APRIL
469-august,August,2851,AUGUST
482-klein,klein,1246,SMALL
484-kurz,kurz,1645,SHORT
486-schmal,schmal,1267,NARROW
494-hart,hart,1884,HARD
512-offen,offen,3235,OPEN (STATE)
517-reif,reif,178,RIPE
537-kraftig,kräftig,3001,POWERFUL
543-bose,böse,45,EVIL
544-dumm,dumm,1518,STUPID
545-faul,faul,1564,LAZY
548-klug,klug,1310,CLEVER
561-schlimm,schlimm,419,SEVERE
563-alt,alt,1229,OLD
566-altlebewesen,alt[Lebewesen],2112,OLD (AGED)
568-arm,arm,1674,POOR
615-unten,unten,721,LOW
616-hinab,hinab,1326,DOWN
622-kaum,kaum,2926,HARDLY
633-durch,durch,97,THROUGH
638-das,das,78,THAT
676-oder,oder,1014,OR
677-stehen,stehen,1442,STAND
680-hangen,hängen,2884,HANG
691-stromen,strömen,2858,STREAM (FLOW CONTINUOUSLY)
730-schreien,schreien,715,SHOUT
740-einschlafen,einschlafen,1106,FALL ASLEEP
741-schlafen,schlafen,1585,SLEEP
754-sicherheben,sich erheben,570,STAND UP
774-weggehen,weggehen,1752,LEAVE
776-anhalten,anhalten,2880,HALT (STOP)
805-probieren,probieren,21,TASTE (SOMETHING)
814-wollen,wollen,1784,WANT
820-offnen,öffnen,1156,OPEN
835-herstellen,herstellen,2886,PRODUCE
840-graben,graben,1418,DIG
857-binden,binden,1917,TIE
886-erhalten,erhalten,694,GET
898-geben,geben,1447,GIVE
900-schenken,schenken,196,DONATE
901-versprechen,versprechen,1675,PROMISE
904-kussen,küssen,578,KISS
910-lehren,lehren,709,TEACH
915-lassen,lassen,2896,CAUSE TO (LET)
922-singen,singen,1261,SING
934-schlagen,schlagen,3308,STRIKE (SOMEONE)
940-belastigen,belästigen,2869,BOTHER (HARASS)
949-jagen,jagen,1435,HUNT
964-umruhren,umrühren,696,STIR
984-sichunterhalten,sich unterhalten,2903,CHAT (WITH SOMEBODY)
991-prahlen,prahlen,101,BOAST
993-denken,denken,1415,THINK (REFLECT)
1012-verkaufen,verkaufen,1571,SELL
1016-ertragen,ertragen,833,ENDURE
